FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDel15,ArrDelay,ArrDel15,Cancelled,CancellationCode,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2023-01-01,American,N727XX,404,ATL,CityName,State,SFO,CityName,State,60,1,58,1,0,,272,1479,58,0,0,0,0
2023-01-01,Southwest,N909XX,6804,MIA,CityName,State,ORD,CityName,State,0,0,0,0,0,,355,516,0,0,0,0,0
2023-01-01,Delta,N204XX,4520,JFK,CityName,State,SFO,CityName,State,0,0,-2,0,0,,127,269,0,0,0,0,0
2023-01-01,American,N685XX,4612,BOS,CityName,State,ATL,CityName,State,0,0,-5,0,0,,298,2506,0,0,0,0,0
2023-01-01,Southwest,N926XX,8481,DEN,CityName,State,SEA,CityName,State,0,0,0,0,1,A,197,1410,0,0,0,0,0
2023-01-01,JetBlue,N260XX,3556,BOS,CityName,State,LAX,CityName,State,0,0,-6,0,0,,50,1479,0,0,0,0,0
2023-01-01,Delta,N635XX,4661,DEN,CityName,State,ORD,CityName,State,0,0,-9,0,0,,79,1621,0,0,0,0,0
2023-01-01,American,N443XX,3737,DFW,CityName,State,SEA,CityName,State,0,0,9,0,0,,189,2837,0,0,0,0,0
2023-01-01,Delta,N432XX,298,JFK,CityName,State,DEN,CityName,State,0,0,-3,0,0,,161,2854,0,0,0,0,0
2023-01-02,American,N626XX,3133,BOS,CityName,State,SFO,CityName,State,0,0,7,0,0,,293,315,0,0,0,0,0
2023-01-02,American,N325XX,1622,SFO,CityName,State,ATL,CityName,State,0,0,4,0,0,,50,383,0,0,0,0,0
2023-01-02,JetBlue,N193XX,7645,ATL,CityName,State,SFO,CityName,State,0,0,-8,0,0,,332,509,0,0,0,0,0
2023-01-02,Delta,N535XX,2246,DEN,CityName,State,SFO,CityName,State,0,0,-6,0,0,,343,586,0,0,0,0,0
2023-01-02,United,N617XX,3126,DEN,CityName,State,DFW,CityName,State,0,0,-3,0,0,,214,412,0,0,0,0,0
2023-01-02,Delta,N154XX,5607,JFK,CityName,State,BOS,CityName,State,0,0,-8,0,0,,288,1791,0,0,0,0,0
2023-01-03,American,N639XX,2046,SFO,CityName,State,SFO,CityName,State,0,0,5,0,0,,108,222,0,0,0,0,0
2023-01-03,Delta,N582XX,4399,SFO,CityName,State,DEN,CityName,State,0,0,9,0,0,,331,2991,0,0,0,0,0
2023-01-03,Southwest,N446XX,6213,SFO,CityName,State,ORD,CityName,State,0,0,-14,0,0,,160,451,0,0,0,0,0
2023-01-03,American,N982XX,4629,MIA,CityName,State,BOS,CityName,State,15,1,24,1,0,,112,811,24,0,0,0,0
2023-01-03,JetBlue,N410XX,1712,BOS,CityName,State,ATL,CityName,State,0,0,-6,0,0,,267,2081,0,0,0,0,0
2023-01-03,Southwest,N803XX,8271,BOS,CityName,State,JFK,CityName,State,0,0,6,0,0,,292,1365,0,0,0,0,0
2023-01-03,American,N141XX,4129,DFW,CityName,State,MIA,CityName,State,0,0,1,0,0,,215,1382,0,0,0,0,0
2023-01-03,United,N289XX,5629,BOS,CityName,State,JFK,CityName,State,0,0,-9,0,0,,145,1646,0,0,0,0,0
2023-01-03,United,N576XX,2535,DFW,CityName,State,ORD,CityName,State,15,1,3,0,0,,137,810,0,0,0,0,0
2023-01-03,Delta,N284XX,1827,ORD,CityName,State,SFO,CityName,State,0,0,-4,0,0,,79,2166,0,0,0,0,0
2023-01-03,United,N804XX,1124,BOS,CityName,State,ATL,CityName,State,0,0,-5,0,0,,111,1726,0,0,0,0,0
2023-01-04,Delta,N494XX,1021,BOS,CityName,State,LAX,CityName,State,0,0,9,0,0,,340,1279,0,0,0,0,0
2023-01-04,United,N612XX,472,ATL,CityName,State,JFK,CityName,State,0,0,-3,0,0,,135,707,0,0,0,0,0
2023-01-04,Southwest,N234XX,7167,SFO,CityName,State,DEN,CityName,State,60,1,50,1,0,,166,2206,0,0,0,0,50
2023-01-04,United,N971XX,9305,SFO,CityName,State,DEN,CityName,State,0,0,-13,0,0,,145,2887,0,0,0,0,0
2023-01-04,JetBlue,N465XX,9167,LAX,CityName,State,DEN,CityName,State,15,1,18,1,0,,54,549,18,0,0,0,0
2023-01-04,American,N332XX,1496,ORD,CityName,State,DEN,CityName,State,15,1,11,0,0,,357,389,0,0,0,0,0
2023-01-04,United,N807XX,3323,SEA,CityName,State,MIA,CityName,State,0,0,8,0,0,,160,737,0,0,0,0,0
2023-01-04,American,N854XX,2077,LAX,CityName,State,SFO,CityName,State,0,0,-2,0,0,,61,1195,0,0,0,0,0
2023-01-04,Southwest,N481XX,4257,LAX,CityName,State,JFK,CityName,State,0,0,-14,0,0,,227,1908,0,0,0,0,0
2023-01-04,United,N587XX,6151,JFK,CityName,State,JFK,CityName,State,0,0,8,0,0,,51,799,0,0,0,0,0
2023-01-04,American,N701XX,4002,SEA,CityName,State,ORD,CityName,State,45,1,34,1,0,,248,1411,0,34,0,0,0
2023-01-04,Delta,N138XX,3181,SFO,CityName,State,DEN,CityName,State,0,0,-3,0,0,,184,1594,0,0,0,0,0
2023-01-04,Southwest,N184XX,6392,ORD,CityName,State,ATL,CityName,State,15,1,8,0,0,,202,773,0,0,0,0,0
2023-01-04,United,N907XX,4060,BOS,CityName,State,MIA,CityName,State,60,1,58,1,0,,300,729,0,0,58,0,0
2023-01-04,United,N755XX,2494,DFW,CityName,State,DEN,CityName,State,0,0,9,0,0,,231,1755,0,0,0,0,0
2023-01-04,JetBlue,N967XX,9606,MIA,CityName,State,DFW,CityName,State,0,0,-11,0,0,,134,2535,0,0,0,0,0
2023-01-04,Delta,N407XX,5753,MIA,CityName,State,DFW,CityName,State,0,0,0,0,0,,342,587,0,0,0,0,0
2023-01-04,Southwest,N666XX,5111,DFW,CityName,State,JFK,CityName,State,0,0,8,0,0,,272,1047,0,0,0,0,0
