FlightDate,Reporting_Airline,Tail_Number,Flight_Number_Reporting_Airline,Origin,OriginCityName,OriginState,Dest,DestCityName,DestState,DepDelay,DepDel15,ArrDelay,ArrDel15,Cancelled,CancellationCode,AirTime,Distance,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2022-01-01,Southwest,N190XX,772,DEN,CityName,State,LAX,CityName,State,0,0,-2,0,0,,187,541,0,0,0,0,0
2022-01-01,JetBlue,N186XX,2391,SFO,CityName,State,SFO,CityName,State,30,1,27,1,0,,291,1177,27,0,0,0,0
2022-01-01,United,N180XX,1907,JFK,CityName,State,ATL,CityName,State,0,0,5,0,0,,113,1982,0,0,0,0,0
2022-01-01,Delta,N164XX,5295,JFK,CityName,State,MIA,CityName,State,0,0,-10,0,0,,57,1783,0,0,0,0,0
2022-01-01,United,N346XX,2437,ORD,CityName,State,SEA,CityName,State,0,0,-12,0,0,,286,2247,0,0,0,0,0
2022-01-01,American,N296XX,9681,MIA,CityName,State,JFK,CityName,State,0,0,-3,0,0,,334,1470,0,0,0,0,0
2022-01-01,Southwest,N575XX,9474,ORD,CityName,State,ORD,CityName,State,30,1,18,1,0,,315,285,18,0,0,0,0
2022-01-01,Southwest,N246XX,8147,BOS,CityName,State,BOS,CityName,State,0,0,-10,0,0,,223,673,0,0,0,0,0
2022-01-01,American,N465XX,7075,DEN,CityName,State,MIA,CityName,State,0,0,0,0,0,,269,2060,0,0,0,0,0
2022-01-01,United,N201XX,6210,JFK,CityName,State,MIA,CityName,State,15,1,19,1,0,,336,1202,0,0,19,0,0
2022-01-01,Delta,N256XX,750,MIA,CityName,State,LAX,CityName,State,0,0,7,0,0,,331,2158,0,0,0,0,0
2022-01-01,Delta,N105XX,5505,JFK,CityName,State,DEN,CityName,State,0,0,4,0,0,,267,2309,0,0,0,0,0
2022-01-01,Delta,N442XX,142,LAX,CityName,State,DFW,CityName,State,0,0,-8,0,0,,198,2252,0,0,0,0,0
2022-01-02,United,N633XX,1712,BOS,CityName,State,MIA,CityName,State,0,0,-2,0,0,,63,835,0,0,0,0,0
2022-01-02,Southwest,N677XX,3392,BOS,CityName,State,SEA,CityName,State,0,0,7,0,0,,198,2026,0,0,0,0,0
2022-01-02,United,N378XX,2241,LAX,CityName,State,BOS,CityName,State,15,1,24,1,0,,132,607,0,0,0,0,24
2022-01-02,American,N396XX,183,LAX,CityName,State,ATL,CityName,State,0,0,-7,0,0,,70,1040,0,0,0,0,0
2022-01-02,Delta,N995XX,3366,SFO,CityName,State,DFW,CityName,State,0,0,-12,0,0,,345,171,0,0,0,0,0
2022-01-02,Delta,N171XX,7198,SFO,CityName,State,BOS,CityName,State,0,0,6,0,0,,168,1665,0,0,0,0,0
2022-01-02,JetBlue,N323XX,6862,LAX,CityName,State,DEN,CityName,State,0,0,-13,0,0,,343,1934,0,0,0,0,0
2022-01-02,Southwest,N181XX,1002,JFK,CityName,State,JFK,CityName,State,0,0,-6,0,0,,250,2635,0,0,0,0,0
2022-01-02,Southwest,N714XX,5339,SEA,CityName,State,MIA,CityName,State,0,0,6,0,0,,251,2345,0,0,0,0,0
2022-01-02,Delta,N327XX,1394,ATL,CityName,State,SFO,CityName,State,45,1,50,1,0,,313,2557,0,50,0,0,0
